Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2015,10,Alliance Air,851,36433.0,68.224,19744.0,0.25992050497617963,1374.0,2015-10-01,Oct 2015
2015,10,Go First,4132,594406.0,81.228,563459.0,4.240614489086021,7482.47,2015-10-01,Oct 2015
2015,10,IndiGo,19105,2589861.0,82.441,2691402.0,18.476600305714967,33699.34,2015-10-01,Oct 2015
2015,10,Jet Airways,13264,1316959.0,77.072,1133496.0,9.395455996292496,21424.0,2015-10-01,Oct 2015
2015,10,JetLite,1641,171551.0,75.86,147201.0,1.2238800688707652,2509.0,2015-10-01,Oct 2015
2015,10,SpiceJet,7414,899332.0,92.083,781628.0,6.416019201856492,9408.0,2015-10-01,Oct 2015
2015,10,Total Domestic,59137,7008489.0,80.509,6678597.0,50.0,97315.67,2015-10-01,Oct 2015
2015,10,TruJet,421,22565.0,75.8,9591.0,0.16098334462678046,562.36,2015-10-01,Oct 2015
2015,10,Vistara,1250,122815.0,67.027,125179.0,0.8761874349806357,1921.25,2015-10-01,Oct 2015
2015,11,Air Costa,628,45620.0,78.01,39962.0,0.3129138202963778,813.0,2015-11-01,Nov 2015
2015,11,Air India,8732,1119595.0,81.964,1071721.0,7.679455252843558,15816.0,2015-11-01,Nov 2015
2015,11,Air India Express,36,9807.0,80.968,4033.0,0.06726755448589604,56.0,2015-11-01,Nov 2015
2015,11,Air Pegasus,440,22296.0,78.08,9081.074,0.15293131383884348,480.0,2015-11-01,Nov 2015
2015,11,AirAsia India,1098,161812.0,82.983,181137.0,1.1098906420385244,1446.0,2015-11-01,Nov 2015
2015,11,Alliance Air,934,34705.0,70.686,20142.0,0.23804634224870216,1299.0,2015-11-01,Nov 2015
2015,11,Go First,4088,602623.0,83.455,568787.0,4.133473588962387,7373.0,2015-11-01,Nov 2015
2015,11,IndiGo,18710,2597765.0,83.925,2683285.0,17.818425479662864,33250.0,2015-11-01,Nov 2015
2015,11,Jet Airways,12995,1355202.0,80.595,1187543.0,9.29551589419754,21140.0,2015-11-01,Nov 2015
2015,11,JetLite,1789,200683.0,79.159,167900.0,1.376512148148575,2768.0,2015-11-01,Nov 2015
2015,11,SpiceJet,7885,977293.0,90.724,872118.867,6.7033863695508105,10299.0,2015-11-01,Nov 2015
2015,11,Total Domestic,59057,7289547.0,83.261,6954948.941,50.0,97334.73,2015-11-01,Nov 2015
2015,11,TruJet,454,25789.0,79.658,10722.0,0.17689027864145743,614.87,2015-11-01,Nov 2015
